mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_85460,OC1CC(=O)OC11CC1,2.56798,1.54104,1.16855,4.5081,68.95,-0.2628,0.0135,0.2764,1073.266,0.135441,-458.990458,-458.982402,-458.981458,-459.023203,30.87
gdb_55140,NC(=O)C1CC2CC1O2,3.48438,1.31673,1.1446,4.3465,70.87,-0.2434,0.0312,0.2746,1094.9083,0.149009,-439.095881,-439.087845,-439.086901,-439.129191,30.598
gdb_34694,N#CC1C2C3C2C2C3N12,4.06313,1.54811,1.41644,4.7928,70.69,-0.2489,0.0269,0.2758,907.0829,0.114997,-379.618989,-379.612807,-379.611863,-379.64959,25.074
gdb_72514,OC12COC(C=C1)C=C2,2.79725,1.7745,1.74838,2.2454,71.27,-0.2326,-0.0123,0.2204,881.3908,0.136878,-421.814082,-421.807077,-421.806132,-421.844762,29.538
gdb_49375,N=CN1C(CC1=O)C#C,2.38691,1.40907,0.96599,4.9818,76.29,-0.2548,-0.0246,0.2302,1182.8383,0.111296,-416.78861,-416.779972,-416.779028,-416.822522,30.865
gdb_105986,CCC12C3C4C(N14)C23C,2.68651,1.58013,1.21368,1.8912,82.28,-0.2054,0.0737,0.2791,1114.7601,0.16965,-365.903549,-365.895019,-365.894075,-365.936575,32.823
gdb_39236,C1C2CCC3NC3CN12,2.86287,1.59085,1.17853,0.9225,81.88,-0.2206,0.0717,0.2923,1092.388,0.186647,-383.223013,-383.215617,-383.214673,-383.254529,30.674
gdb_128018,CN=CNc1ccno1,4.86557,0.93936,0.7912,5.0057,80.7,-0.2151,-0.0098,0.2053,1408.4726,0.124384,-434.054179,-434.045698,-434.044753,-434.088459,30.174
gdb_111803,CCC1C2CCC1OC2,2.75323,1.31088,1.25321,1.6872,83.85,-0.2334,0.0769,0.3103,1177.7114,0.20886,-388.309526,-388.30132,-388.300375,-388.342239,32.889
gdb_26132,CC(O)C1=C(O)C=CO1,2.54696,1.31939,1.05149,2.8362,71.55,-0.2059,0.0142,0.2201,1182.2815,0.134604,-458.982852,-458.973659,-458.972715,-459.017218,33.442
gdb_55493,CC(=O)CC#CCC#C,5.87558,0.54587,0.5167,2.4084,83.71,-0.2456,-0.0152,0.2304,2091.0919,0.130898,-384.645667,-384.634937,-384.633993,-384.685308,36.113
gdb_103350,COC1(C)C2OC1C2O,2.91303,1.43443,1.15117,1.8752,71.99,-0.2398,0.0554,0.2952,1110.8608,0.156192,-460.066218,-460.057007,-460.056063,-460.09998,34.49
gdb_91090,CC1CC2C3OC3CC12,2.58913,1.67221,1.51572,1.7695,80.29,-0.2556,0.0782,0.3338,1009.2862,0.184735,-387.078023,-387.070468,-387.069523,-387.109701,31.0
gdb_95322,OC1COC2CC1CO2,2.61377,1.74254,1.45543,1.9691,69.41,-0.2501,0.0649,0.315,965.44,0.162407,-460.173213,-460.165941,-460.164997,-460.204549,29.568
gdb_52484,CC#CC#CC1CC1O,5.38512,0.55798,0.52646,1.1807,100.53,-0.2198,-0.0062,0.2135,2092.8544,0.133236,-384.632088,-384.62186,-384.620916,-384.670391,34.94
gdb_114953,CCC1CC=C(CC)C1,3.92904,0.78659,0.70403,0.2399,95.83,-0.2236,0.0342,0.2578,1748.5089,0.229142,-352.38788,-352.377685,-352.376741,-352.423373,38.2
gdb_89206,CC1OC2(C)C1OC2=N,2.49072,1.64584,1.27037,2.9053,73.5,-0.2556,0.0115,0.2671,1061.044,0.146352,-439.070096,-439.061578,-439.060634,-439.102998,32.127
gdb_65256,OC1(CC1)C1CCC=C1,2.9199,1.32513,1.13085,1.1628,82.79,-0.235,0.024,0.259,1170.1089,0.182544,-387.082285,-387.073385,-387.07244,-387.116103,34.223
gdb_127591,Cn1ncc(n1)CCO,4.8436,0.78505,0.71809,1.7984,75.75,-0.2466,-0.0019,0.2447,1572.5538,0.148558,-435.271122,-435.261852,-435.260907,-435.306941,31.925
gdb_58039,CC(N)C(C#N)N(C)C,2.02173,1.21177,1.08353,2.9408,82.67,-0.231,0.0267,0.2577,1317.5421,0.192731,-400.518233,-400.507067,-400.506123,-400.555129,39.801
gdb_13505,CC(O)C1COC1C,3.03438,1.6282,1.17779,2.26,70.68,-0.241,0.0652,0.3061,1064.0558,0.175479,-386.124,-386.114827,-386.113883,-386.158104,33.366
gdb_8448,CC12CC(C1)C(=O)O2,4.05357,1.9466,1.66427,4.4569,64.52,-0.2605,0.0159,0.2765,815.1509,0.131602,-383.768635,-383.762068,-383.761124,-383.799026,26.12
gdb_63,CC(C)C#C,7.92874,3.8272,2.82581,0.6578,51.2,-0.2589,0.0571,0.316,481.9854,0.112471,-195.186772,-195.180446,-195.179502,-195.215658,22.569
gdb_92087,CC1OC2CC2CC1O,2.595,1.54945,1.27626,1.8464,77.59,-0.2489,0.0777,0.3267,1092.3089,0.183627,-424.219613,-424.211226,-424.210282,-424.252068,33.616
gdb_22927,CC1C2CC(=NO)C12C,2.34798,1.316,1.10889,1.1295,84.17,-0.2256,0.0179,0.2435,1218.6451,0.169015,-403.088205,-403.078708,-403.077764,-403.122147,35.737
gdb_40909,C1OCC11C2COCC12,3.53597,1.27662,1.23486,2.4393,74.71,-0.2418,0.0733,0.3151,1085.702,0.161019,-422.987157,-422.979635,-422.978691,-423.019389,28.958
gdb_80463,CC1CC2C(O)C2C1=O,2.21761,1.63746,1.42058,4.2632,74.73,-0.2331,-0.0088,0.2243,1038.3478,0.159523,-423.043718,-423.03528,-423.034336,-423.076667,32.523
gdb_19952,O=C1CNC1C1CN1,3.93693,1.51001,1.1553,2.7888,66.13,-0.2416,-0.032,0.2096,1009.033,0.130902,-379.876213,-379.868724,-379.86778,-379.908719,27.298
gdb_3124,O=CC12CC1OC2,5.54947,2.27223,1.85868,2.5431,55.79,-0.25,-0.0287,0.2213,670.5929,0.101207,-344.416076,-344.409974,-344.409029,-344.446067,22.28
gdb_53046,CC#CC12CCC1CO2,3.45109,0.9893,0.88607,1.8222,86.04,-0.235,0.028,0.263,1405.1997,0.158196,-385.834341,-385.825227,-385.824282,-385.870189,32.74
gdb_60639,CC(C1CCC1)C(C)=O,2.74,1.03166,0.88937,2.423,86.02,-0.2374,-0.0084,0.229,1444.0171,0.203954,-388.3091,-388.298739,-388.297795,-388.345559,37.504
gdb_21039,Cn1nc(c(n1)O)N,3.73734,1.87333,1.26102,1.1035,62.18,-0.1953,0.0118,0.2072,914.5018,0.108357,-412.042003,-412.034119,-412.033175,-412.074171,28.153
gdb_38777,C1C2C3C4OC4CC1C23,2.81201,1.97796,1.64441,1.8999,76.66,-0.2449,0.081,0.3259,897.9248,0.162964,-385.853293,-385.846937,-385.845992,-385.883574,27.439
gdb_110676,OCC1C2C3CCC1N23,2.94647,1.35654,1.25888,1.6362,76.37,-0.2308,0.0569,0.2877,1093.3375,0.173752,-403.109439,-403.10169,-403.100746,-403.141864,30.543
gdb_33486,N#CC1(CC2CC12)C#N,2.23542,1.72451,1.1885,4.9708,73.45,-0.3054,-0.0118,0.2937,1036.9314,0.113218,-379.6595,-379.651741,-379.650796,-379.691863,29.017
gdb_102496,CCC(OC)C(C)(C)C,1.92684,1.25298,0.95493,0.9242,92.29,-0.2424,0.0775,0.3199,1456.8998,0.248378,-390.696042,-390.683943,-390.682999,-390.732769,44.774
gdb_24903,N=C1CC2=C(N1)C=CO2,4.91346,1.29909,1.03588,2.8097,73.7,-0.194,0.0019,0.1959,1079.0325,0.115407,-416.833386,-416.826511,-416.825567,-416.864632,27.117
gdb_63043,CC1(O)C2CC3C2CC13,2.56674,1.97334,1.52884,1.2841,81.31,-0.2524,0.0784,0.3308,964.0565,0.184186,-387.056547,-387.049037,-387.048093,-387.087713,31.996
gdb_105308,CCC1(CC2CN12)C#C,2.35352,1.50935,1.15423,1.7486,84.63,-0.2349,0.0399,0.2748,1156.953,0.169487,-365.930783,-365.921775,-365.92083,-365.964055,34.972
gdb_30034,CC1C=CN2C=CC=C12,3.22679,1.63938,1.15471,1.4912,85.78,-0.1985,-0.0013,0.1972,1061.5303,0.150295,-364.859722,-364.852421,-364.851477,-364.891258,29.35
gdb_124854,CC1(CC1)c2conn2,3.59759,1.27287,1.02214,3.7118,74.56,-0.2498,-0.036,0.2139,1154.2111,0.135609,-417.979312,-417.971386,-417.970442,-418.012056,30.078
gdb_78986,CC1C2C3C4C3C2(C)N14,2.68686,1.95615,1.49724,1.4046,81.43,-0.2132,0.0842,0.2974,968.6592,0.171359,-365.928594,-365.920993,-365.920049,-365.960052,31.138
gdb_15698,OCC1CCCC1=O,3.48522,1.67804,1.20406,3.759,67.47,-0.248,-0.0286,0.2194,999.9987,0.154807,-384.977171,-384.969481,-384.968537,-385.009383,29.066
gdb_107400,CC1CC2OC2(CO)C1,3.11918,1.15975,1.0807,1.5381,77.86,-0.2535,0.0641,0.3176,1237.6495,0.18236,-424.224351,-424.215254,-424.21431,-424.258101,34.59
gdb_104393,CC1CCOC1(C)CO,2.20977,1.41969,1.11001,2.6801,80.86,-0.2435,0.0744,0.3179,1229.7599,0.205454,-425.441083,-425.431324,-425.430379,-425.475547,37.396
gdb_10645,COC1(CC1O)C#C,2.67574,1.85563,1.34776,2.2335,67.92,-0.2416,0.0262,0.2678,953.0886,0.12706,-383.669336,-383.660606,-383.659662,-383.702201,32.103
gdb_83331,CC12CCC(C1O)C2O,2.0897,1.664,1.49129,1.9892,77.72,-0.2461,0.0741,0.3202,1051.1968,0.18284,-424.218335,-424.209479,-424.208535,-424.250903,35.16
gdb_83396,CC1C2CCC12C(C)=O,2.53878,1.32503,1.11044,2.7636,84.36,-0.2347,-0.0097,0.225,1219.7941,0.181279,-387.093354,-387.08395,-387.083006,-387.127661,35.18
gdb_22705,CCC12CC(N1)C2=NO,2.33916,1.37663,1.04091,1.9542,80.46,-0.2389,0.0252,0.2641,1219.8552,0.15844,-419.087094,-419.078188,-419.077244,-419.120763,33.585
gdb_29769,Cc1cn(c(c1C)N)C,2.36834,1.50231,0.93954,1.2274,88.53,-0.182,0.0567,0.2387,1294.766,0.181734,-383.314669,-383.304032,-383.303087,-383.350395,37.829
gdb_8986,C(C=O)NC(=N)C#N,6.5969,0.99244,0.91594,2.4288,62.49,-0.2551,-0.0561,0.199,1172.3447,0.094074,-394.794891,-394.786394,-394.78545,-394.829016,28.361
gdb_28921,c1cc(c(c(c1)N)O)N,2.30254,1.83659,1.027,1.1791,80.94,-0.1873,0.0249,0.2123,1113.866,0.137714,-418.074662,-418.066048,-418.065104,-418.108075,33.466
gdb_59468,CC(C)C1NC1C1CN1,2.87871,1.01458,0.9514,2.659,85.99,-0.2324,0.0696,0.302,1408.2009,0.206245,-384.425098,-384.415282,-384.414338,-384.460032,36.781
gdb_112236,OCC1OC(=N)C1C#N,2.10956,1.45891,0.95921,3.4283,67.29,-0.2857,-0.0097,0.276,1183.2784,0.112294,-453.943833,-453.935313,-453.934368,-453.977723,30.37
